SR No,LRNo,LRDate,NoOfBox,Weight,InvoiceNumber,InvoiceDate,PartyName,CityName,District,State,Amount,TransportName,Remark
2,158076382,3/29/2025 19:06,12,140.4,DHL/24-25/16538,3/29/2025 11:21,PHOENIX INDUSTRIAL SERVICE,ANGUL,ANGUL,Odisha,56994,GATI,All others ODA
3,158076382,3/29/2025 19:06,5,41.5,DHL/24-25/16538,3/29/2025 11:21,PHOENIX INDUSTRIAL SERVICE,ANGUL,ANGUL,Odisha,17493.5,GATI,All others ODA
4,158076320,3/29/2025 19:05,1,12,DHL/24-25/16451,3/28/2025 14:30,TECHNOBUD ELECTRONICS,MADHA,SOLAPUR,MAHARASHTRA,5811.5,GATI,Scheduled
5,158076429,3/29/2025 19:05,2,54.1,DHL/24-25/16496,3/29/2025 10:07,"OM ENTERPRISES.,",NASHIK,NASHIK,MAHARASHTRA,17481.7,GATI,Scheduled
6,158076436,3/29/2025 19:04,2,10.9,DHL/24-25/16537,3/29/2025 11:20,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,4041.5,GATI,All others ODA
7,158076436,3/29/2025 19:04,4,22.6,DHL/24-25/16537,3/29/2025 11:20,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,9074.2,GATI,All others ODA
8,158076412,3/29/2025 19:04,7,45.5,DHL/24-25/16509,3/29/2025 10:46,Pioneer Instrument and Automation (CCM),BHUBANESHWAR,KHORDHA,Odisha,70623,GATI,All others ODA
9,158076399,3/29/2025 19:03,68,166.6,DHL/24-25/16544,3/29/2025 11:40,SNEHA,SANTACRUZ(W),MUMBAI,MAHARASHTRA,163288.4,GATI,Scheduled
10,158076306,3/29/2025 19:02,2,35.4,DHL/24-25/16534,3/29/2025 11:18,MAA LAKHI BHANDAR,DUMKA,DUMKA,Jharkhand,9841.2,GATI,All others ODA
11,158076313,3/29/2025 19:02,4,55.6,DHL/24-25/16522,3/29/2025 11:08,OMKARESHWAR SALES,SHIVPURI,SHIVPURI,Madhya Pradesh,20272.4,GATI,All others ODA
12,158076405,3/29/2025 19:00,20,136,DHL/24-25/16505,3/29/2025 10:40,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,49265,GATI,All others ODA
13,158076405,3/29/2025 19:00,5,150,DHL/24-25/16506,3/29/2025 10:41,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,40090.5,GATI,All others ODA
14,158076405,3/29/2025 19:00,7,83.3,DHL/24-25/16515,3/29/2025 10:56,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,33742.1,GATI,All others ODA
15,158076405,3/29/2025 19:00,10,188,DHL/24-25/16521,3/29/2025 11:08,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,57171,GATI,All others ODA
16,158076405,3/29/2025 19:00,3,24.3,DHL/24-25/16529,3/29/2025 11:14,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,11097.9,GATI,All others ODA
17,158076405,3/29/2025 19:00,9,74.7,DHL/24-25/16529,3/29/2025 11:14,NITIRAJ SALES,SAGAR,SAGAR,Madhya Pradesh,22656,GATI,All others ODA
18,158076337,3/29/2025 18:44,1,5.4,DHL/24-25/16450,3/28/2025 14:29,Raigarh,Raigarh,Raigarh,Chhattisgarh,2619.6,GATI,Scheduled
19,158076337,3/29/2025 18:44,1,1.9,DHL/24-25/16462,3/28/2025 14:43,Raigarh,Raigarh,Raigarh,Chhattisgarh,3026.7,GATI,Scheduled
